index,run_id,job_id,lr,beta1,beta2,seed,loss,seconds,training_seconds,peak_memory_bytes,directory
207,packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed42,2318595_207,0.016,0.925,0.98,42,3.711078928128252,447.6578384959139,320.8264649466146,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed42
208,packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed43,2318595_208,0.016,0.925,0.98,43,3.7171480391385696,446.7704120199196,320.2611585536506,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed43
209,packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed44,2318595_209,0.016,0.925,0.98,44,3.707708838198463,451.3602197810542,323.1625673470553,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.98-seed44
210,packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed42,2318595_210,0.016,0.925,0.99,42,3.693359781409949,440.7353047590004,315.3806212859927,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed42
211,packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed43,2318595_211,0.016,0.925,0.99,43,3.704755001142433,445.72128211392555,321.6630600023782,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed43
212,packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed44,2318595_212,0.016,0.925,0.99,44,3.7167734866061246,445.4459156340454,318.4472824482946,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.99-seed44
213,packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed42,2318595_213,0.016,0.925,0.999,42,4.04465971524729,436.9606352209812,311.8279264582088,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed42
214,packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed43,2318595_214,0.016,0.925,0.999,43,4.092716798661912,446.8860735310009,319.8456165860407,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed43
215,packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed44,2318595_215,0.016,0.925,0.999,44,4.05379487896102,439.32180045207497,311.034702673438,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.925-beta2-0.999-seed44
216,packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed42,2318595_216,0.016,0.95,0.95,42,3.7421963009733097,449.8592589700129,322.58408005931415,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed42
217,packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed43,2318595_217,0.016,0.95,0.95,43,3.7071104744787045,440.2509220739594,313.82990684139077,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed43
218,packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed44,2318595_218,0.016,0.95,0.95,44,3.7179704578696966,450.7993858640548,325.75090384704527,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.95-seed44
219,packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed42,2318595_219,0.016,0.95,0.98,42,3.7002451522623847,452.87346547003835,320.94385164394043,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed42
220,packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed43,2318595_220,0.016,0.95,0.98,43,3.665981079526789,437.9833169830963,310.885937399813,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed43
221,packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed44,2318595_221,0.016,0.95,0.98,44,3.683794235732419,437.2405406970065,312.3361769959447,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.98-seed44
222,packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed42,2318595_222,0.016,0.95,0.99,42,3.705535815168096,432.3120707239723,308.3646592227742,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed42
223,packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed43,2318595_223,0.016,0.95,0.99,43,3.6736857651440102,438.9947014800273,313.81437888287473,64679488512,runs/packed8-awc-20m-batch128k-20260912/experiments/packed8-awc-lr0.016-beta1-0.95-beta2-0.99-seed43
