step,epoch,tokens,lr,mixing_step,gamma
3060,10,100122624,0.004364709343616168,3059,1.0
3080,10,100777984,0.004357778799091407,3079,1.0
3100,10,101433344,0.004350799802385715,3099,1.0
3120,10,102072320,0.004343948818175896,3119,1.0
3140,11,102727680,0.004336874708025739,3139,0.9967456568387997
3160,11,103383040,0.004329752735321673,3159,0.9934746531540268
3180,11,104038400,0.004322583100948187,3179,0.9901871893673208
3200,11,104693760,0.004315366007134125,3199,0.9868834666289329
3220,11,105349120,0.004308101657446985,3219,0.9835636867998198
3240,11,106004480,0.0043007902567871814,3239,0.9802280524336913
3260,11,106659840,0.004293432011382261,3259,0.9768767667590061
3280,11,107315200,0.004286027128781088,3279,0.9735100336609268
3300,11,107970560,0.004278575817847987,3299,0.9701280576632301
3320,11,108625920,0.004271078288756856,3319,0.9667310439101774
3340,11,109281280,0.004263534752985238,3339,0.9633191981483462
3360,11,109936640,0.004255945423308349,3359,0.9598927267084222
3380,11,110592000,0.004248310513793086,3379,0.9564518364869609
3400,11,111247360,0.004240630239791984,3399,0.9529967349281104
3420,11,111902720,0.004232904817937137,3419,0.9495276300053066
3432,11,112279552,0.004228442341497729,3431,0.9475266347862863
3440,12,112541696,0.004225329270757,3439,0.9461319691473699
3460,12,113197056,0.004217515323266718,3459,0.9426358205392329
3480,12,113852416,0.004209656879908919,3479,0.9391262902377799
3500,12,114507776,0.0042017541623412015,3499,0.9356035881388107
3520,12,115163136,0.0041938073934699735,3519,0.9320679245759426
3540,12,115818496,0.004185816797444166,3539,0.9285195103021556
3560,12,116473856,0.004177782599648912,3559,0.9249585564713233
3580,12,117129216,0.004169705026699191,3579,0.9213852746197263
3600,12,117784576,0.004161584306433434,3599,0.9177998766475498
3620,12,118439936,0.004153420667907097,3619,0.9142025748003714
3640,12,119095296,0.004145214341386202,3639,0.9105935816506373
3660,12,119750656,0.004136965558340843,3659,0.9069731100791336
3680,12,120406016,0.004128674551438652,3679,0.9033413732564451
3700,12,121061376,0.004120341554538242,3699,0.8996985846244147
3720,12,121716736,0.004111966802682609,3719,0.8960449578776005
