epoch,tokens,case,direction,alignment,normalized_alignment,average_norm
10,102072320,unseen,delta_div_sqrt_v,4909900.25224293,1.1191447822412249e-05,661760.087812791
10,102072320,unseen,delta_mul_sqrt_v,9.523163599566373e-09,0.04552230499021794,0.00045736312026880394
15,153108480,seen,delta,0.04420517569605047,0.0013942538815292387,5.630424841786416
15,153108480,seen,delta_div_m,30368716039575.062,2.132232451147147e-07,11428045067.528585
15,153108480,seen,delta_mul_m,2.404852999031988e-10,0.0020662310521765274,0.0003213931015824561
15,153108480,seen,delta_div_v,3.5196439391077165e+20,2.3362857784843186e-07,34717322394061.906
15,153108480,seen,delta_mul_v,3.6119348934286635e-12,2.245713018980602,1.25538949745232e-06
15,153108480,seen,delta_div_sqrt_v,9212458.089675706,1.0218941577915281e-06,2800665.083382177
15,153108480,seen,delta_mul_sqrt_v,1.515948661921375e-08,0.04774203699249542,0.0005633026846866258
15,153108480,unseen,delta,0.0442985305286354,0.0013971983407614795,5.630424841786416
15,153108480,unseen,delta_div_m,-44067868035285.13,-3.0940701659977e-07,11428045067.528585
15,153108480,unseen,delta_mul_m,2.4064163199525666e-10,0.0020675742453912134,0.0003213931015824561
15,153108480,unseen,delta_div_v,1.468443015140945e+20,9.747299988697602e-08,34717322394061.906
15,153108480,unseen,delta_mul_v,3.5963967649738844e-12,2.23605221988232,1.25538949745232e-06
15,153108480,unseen,delta_div_sqrt_v,7802518.56131634,8.654962721409572e-07,2800665.083382177
15,153108480,unseen,delta_mul_sqrt_v,1.5171053681321825e-08,0.047778465343991064,0.0005633026846866258
20,204144640,seen,delta,0.057521746230438986,0.00111284915464516,7.187883528947614
20,204144640,seen,delta_div_m,79179535851703.38,3.751312442176659e-07,14386477024.802073
20,204144640,seen,delta_mul_m,4.204650373922494e-10,0.0034736872572335496,0.0003368674205695497
