horizon,beta1,beta2,lr,sync,awc8,difference,pairedSD,differenceSeed42,differenceSeed43,differenceSeed44
40,0.9,0.9,0.003,3.482267173906518,3.651032926898464,0.16876575299194618,0.007859185673509343,0.1777938831548349,0.16345391051539382,0.16504946530560893
40,0.9,0.9,0.002,3.489520469696341,3.6716514155339204,0.18213094583757927,0.005984669940475616,0.1828036402795279,0.17583835097758982,0.1877508462556179
80,0.95,0.999,0.003,3.374769685331667,3.395320425063012,0.02055073973134469,0.0015722265697913826,0.018802415497108704,0.021848479663917342,0.02100132403300803
80,0.95,0.999,0.002,3.376895213728554,3.413184938496613,0.03628972476805892,0.0029370745065578855,0.039002803478886516,0.03317085468638714,0.03669551613890265
80,0.95,0.999,0.004,3.3774011746860815,3.3953356397455514,0.01793446505946994,0.004735213119930916,0.013380481690815405,0.017590737396044,0.02283217609154864
80,0.95,0.98,0.003,3.3781953749459035,3.4306098521722994,0.05241447722639592,0.0023899576309388414,0.050969642570467766,0.055173125653831256,0.051100663454888284
80,0.95,0.98,0.004,3.3795215677941024,3.4305045963678356,0.05098302857373316,0.0011839845929080936,0.05226245951691588,0.04992604596652761,0.05076058023775598
80,0.95,0.98,0.002,3.3809254674039853,3.451286852427748,0.07036138502376277,0.0035939369725116795,0.07405221050415633,0.06687288421004567,0.07015906035708674
80,0.95,0.9,0.003,3.386298891169204,3.495431086762031,0.10913219559282705,0.002592429795096142,0.112119619416994,0.10780330605059296,0.10747366131089464
80,0.95,0.9,0.004,3.387214046556615,3.490446337167883,0.10323229061126771,0.0018212214355463865,0.10113989451426653,0.1044608521627941,0.10409612515674072
80,0.9,0.98,0.004,3.3874882918348876,3.4570344829535813,0.06954619111869365,0.00552928190506753,0.0726089974867481,0.07286632081093947,0.06316325505839293
80,0.95,0.9,0.002,3.387568056442225,3.5076779529491717,0.1201098965069467,0.0004898643016478661,0.12010893950089141,0.12060023861051361,0.11962051140943464
80,0.9,0.999,0.003,3.388201015651705,3.4195103434586596,0.03130932780695472,0.005809608018286515,0.032113078676283546,0.03667521049232114,0.025139694252259925
80,0.9,0.999,0.004,3.3900080293105788,3.414192973237734,0.02418494392715509,0.007779922184229736,0.029630847853466147,0.01527460261050706,0.02764938131749206
80,0.9,0.999,0.002,3.391963592292896,3.4319252411632326,0.039961648870336486,0.001917308519305766,0.0398259288790177,0.04194321130398526,0.03811580642800472
80,0.9,0.98,0.002,3.3920589529278886,3.4744221520088936,0.08236319908100498,0.003661884204695045,0.08652452120677623,0.08093211061049654,0.07963296542574128
80,0.9,0.98,0.003,3.3939105932604527,3.4619914656965993,0.06808087243614658,0.006579148102965411,0.06769873887890743,0.07484275881501956,0.0617011196145123
80,0.9,0.9,0.004,3.402566699748755,3.566082884859853,0.163516185111098,0.0059837751110170204,0.17042059531089304,0.1598350598854985,0.16029290013690245
80,0.9,0.9,0.003,3.4046535255076074,3.567322790338755,0.16266926483114785,0.004227153222526406,0.1673405781300663,0.15910766021614275,0.1615595561472345
80,0.9,0.9,0.002,3.4089535609942145,3.581522993212016,0.1725694322178013,0.002395563093004546,0.1739070281887405,0.1698037674515227,0.17399750101314115
120,0.95,0.999,0.003,3.3391638713609706,3.3563471201186217,0.017183248757651093,0.0011972005882532847,0.016046648991333345,0.017070083324802976,0.018433013956815625
120,0.95,0.999,0.002,3.340015969012794,3.370868450402387,0.030852481389592956,0.0018103925487669738,0.03288464287456261,0.029411829151496427,0.03026097214272072
120,0.95,0.98,0.003,3.343044725804964,3.3933140813927913,0.0502693555878273,0.002159309077644484,0.04845310802682601,0.05265685399656306,0.049698104740093285
120,0.95,0.98,0.002,3.3455961244912342,3.409742681069004,0.06414655657776969,0.0018768974387136405,0.06611228861776164,0.0623733316800088,0.0639540494355395
120,0.9,0.999,0.003,3.350392472887071,3.3787512229170544,0.028358750029983337,0.0065260417390396105,0.027210994998155158,0.035382527899381344,0.02248272719241351
120,0.95,0.9,0.003,3.3508146872692244,3.4586898880279278,0.10787520075870338,0.0014358278415250623,0.10943454759348281,0.10758330769879532,0.10660774698383113
120,0.95,0.9,0.002,3.351856651815684,3.470399381440427,0.11854272962474299,0.0009547237856508438,0.1175153174026109,0.11940257963832268,0.11871029183329718
120,0.9,0.999,0.002,3.352482795767591,3.3867135027788886,0.03423070701129749,0.002173289318413205,0.03388733717158354,0.036555241049511356,0.03224954281279757
