id,method,horizon,beta1,beta2,lr,mean,sd,rank,lossSeed42,lossSeed43,lossSeed44
sync-wsd-h20--0.006--0.9--0.9,sync,20,0.9,0.9,0.006,3.5747856606512656,0.004726287536454467,14,3.5710420365123547,3.580096477316119,3.5732184681253227
sync-wsd-h20--0.002--0.95--0.999,sync,20,0.95,0.999,0.002,3.5753698804127048,0.0030797209326802917,15,3.5726546033636044,3.578716270790343,3.5747387670841677
sync-wsd-h20--0.002--0.95--0.9,sync,20,0.95,0.9,0.002,3.5761158519774603,0.005343426401222924,16,3.5702033761528265,3.577544288226398,3.580599891553157
sync-wsd-h20--0.006--0.95--0.999,sync,20,0.95,0.999,0.006,3.576976036348702,0.003081124407809606,17,3.5781384521506574,3.579306858623379,3.5734827982720696
sync-wsd-h20--0.004--0.9--0.999,sync,20,0.9,0.999,0.004,3.5798042481897347,0.003976068572041483,18,3.5796302724512543,3.5838644489429505,3.575918023174999
sync-wsd-h20--0.008--0.95--0.9,sync,20,0.95,0.9,0.008,3.5810848116479477,0.002121372804643615,19,3.5809341788065727,3.5790427700718372,3.583277486065434
sync-wsd-h20--0.004--0.9--0.9,sync,20,0.9,0.9,0.004,3.582076265351548,0.0025112394512316416,20,3.584592103854237,3.5795696503595553,3.5820670418408516
sync-wsd-h20--0.003--0.9--0.98,sync,20,0.9,0.98,0.003,3.5832357813677245,0.004056696274724739,21,3.584645328549556,3.5786623300670466,3.5863996854865703
sync-wsd-h20--0.008--0.9--0.9,sync,20,0.9,0.9,0.008,3.585790230542006,0.008824424217717857,22,3.577678713712776,3.5845053023134006,3.5951866755998427
sync-wsd-h20--0.003--0.9--0.9,sync,20,0.9,0.9,0.003,3.5881402153144726,0.005512756401871713,23,3.590969326333108,3.581787281399286,3.5916640382110243
sync-wsd-h20--0.002--0.9--0.98,sync,20,0.9,0.98,0.002,3.5902139011810994,0.007162049199791701,24,3.594647453114633,3.5819512454868043,3.5940430049418595
sync-wsd-h20--0.003--0.9--0.999,sync,20,0.9,0.999,0.003,3.592575014428235,0.015831461614575347,25,3.574305882349551,3.6011489677024087,3.6022701932327457
sync-wsd-h20--0.006--0.9--0.999,sync,20,0.9,0.999,0.006,3.597925708677097,0.040194154486176546,26,3.576374475218168,3.5731031750731845,3.644299475739938
sync-wsd-h20--0.002--0.9--0.999,sync,20,0.9,0.999,0.002,3.600229910539466,0.00412226752112897,27,3.6048555121924224,3.5988897075367965,3.5969445118891783
sync-wsd-h20--0.002--0.9--0.9,sync,20,0.9,0.9,0.002,3.602495590842191,0.008980378249572811,28,3.612617613381496,3.595483762233382,3.599385396911696
sync-wsd-h20--0.008--0.95--0.999,sync,20,0.95,0.999,0.008,3.6039802145560977,0.028663118257957795,29,3.6366870581997817,3.592016682530186,3.583236902938327
sync-wsd-h20--0.008--0.9--0.999,sync,20,0.9,0.999,0.008,3.823773669880571,0.3934565021785336,30,4.278052927002443,3.6021826013279674,3.5910854813113016
sync-wsd-h40--0.004--0.95--0.98,sync,40,0.95,0.98,0.004,3.4528001664434735,0.003135828008909997,1,3.4492329075080965,3.4551217690214986,3.4540458228008246
sync-wsd-h40--0.003--0.95--0.98,sync,40,0.95,0.98,0.003,3.4532896057274303,0.0028464816034197283,2,3.4501401313581113,3.454050054316837,3.4556786315073427
sync-wsd-h40--0.003--0.95--0.999,sync,40,0.95,0.999,0.003,3.4546716336530547,0.0020455858607605413,3,3.452309710920177,3.455872899370765,3.455832290668222
sync-wsd-h40--0.004--0.95--0.999,sync,40,0.95,0.999,0.004,3.455179279965129,0.0029772094093164707,4,3.4520953789037487,3.4580368830143953,3.4554055779772432
sync-wsd-h40--0.002--0.95--0.98,sync,40,0.95,0.98,0.002,3.457884661836341,0.006094890839684514,5,3.453656531049864,3.464871085681808,3.45512636877735
sync-wsd-h40--0.002--0.95--0.999,sync,40,0.95,0.999,0.002,3.4586715671120305,0.004315819287052254,6,3.4549467369817295,3.4634011282309762,3.4576668361233858
sync-wsd-h40--0.004--0.95--0.9,sync,40,0.95,0.9,0.004,3.4616216790455865,0.0034244156675208837,7,3.457830407098489,3.4625445275647917,3.464490102473478
sync-wsd-h40--0.003--0.95--0.9,sync,40,0.95,0.9,0.003,3.4630259848628913,0.004604541840619019,8,3.4577991555613536,3.4647956002771982,3.4664831987501215
sync-wsd-h40--0.004--0.9--0.98,sync,40,0.9,0.98,0.004,3.4633824264297144,0.007431979195698837,9,3.4548085307638963,3.4679864698303144,3.4673522786949325
sync-wsd-h40--0.002--0.95--0.9,sync,40,0.95,0.9,0.002,3.466277856722092,0.004361711714607193,10,3.4613947454175875,3.4676512611340207,3.4697875636146684
sync-wsd-h40--0.003--0.9--0.999,sync,40,0.9,0.999,0.003,3.471652064386942,0.007335404724981006,11,3.4631896312463604,3.476197257843589,3.4755693040708757
sync-wsd-h40--0.003--0.9--0.98,sync,40,0.9,0.98,0.003,3.4722663640623552,0.003732948411142064,12,3.473158218724192,3.4681682661046906,3.475472607358183
sync-wsd-h40--0.002--0.9--0.98,sync,40,0.9,0.98,0.002,3.474736075125436,0.006922801760141147,13,3.479317315960111,3.4667723287160865,3.478118580700111
sync-wsd-h40--0.004--0.9--0.9,sync,40,0.9,0.9,0.004,3.4773660739727297,0.0016672574020079572,14,3.4755529848956312,3.4788332237586945,3.4777120132638637
sync-wsd-h40--0.002--0.9--0.999,sync,40,0.9,0.999,0.002,3.47878671322999,0.003175004104670146,15,3.4824460882651778,3.4771503695215995,3.4767636819031935
sync-wsd-h40--0.004--0.9--0.999,sync,40,0.9,0.999,0.004,3.4788124437630192,0.012143707228629261,16,3.4735047162075072,3.492706443056062,3.470226172025489
sync-wsd-h40--0.003--0.9--0.9,sync,40,0.9,0.9,0.003,3.482267173906518,0.004729802869704142,17,3.4843115747706386,3.476859046660619,3.4856309002882964
sync-wsd-h40--0.002--0.9--0.9,sync,40,0.9,0.9,0.002,3.489520469696341,0.006311074255784088,18,3.496402676426997,3.484004256418404,3.4881544762436234
sync-wsd-h80--0.003--0.95--0.999,sync,80,0.95,0.999,0.003,3.374769685331667,0.0030796182174545766,1,3.371351940317979,3.3773290357226062,3.3756280799544163
sync-wsd-h80--0.002--0.95--0.999,sync,80,0.95,0.999,0.002,3.376895213728554,0.004187575551988463,2,3.373592376293663,3.3816051022697224,3.3754881626222772
sync-wsd-h80--0.004--0.95--0.999,sync,80,0.95,0.999,0.004,3.3774011746860815,0.0013606631253653574,3,3.3758311076744336,3.3782369164252612,3.37813549995855
sync-wsd-h80--0.003--0.95--0.98,sync,80,0.95,0.98,0.003,3.3781953749459035,0.002814216488423331,4,3.375018283755546,3.379192834151603,3.380375006930562
sync-wsd-h80--0.004--0.95--0.98,sync,80,0.95,0.98,0.004,3.3795215677941024,0.0031099891920053965,5,3.3759750879053594,3.381783574629176,3.380806040847772
sync-wsd-h80--0.002--0.95--0.98,sync,80,0.95,0.98,0.002,3.3809254674039853,0.005579100530791078,6,3.3775112392312505,3.387363717423831,3.377901445556874
sync-wsd-h80--0.003--0.95--0.9,sync,80,0.95,0.9,0.003,3.386298891169204,0.0040913473327376755,7,3.3818844564960417,3.387048817222482,3.389963399789087
sync-wsd-h80--0.004--0.95--0.9,sync,80,0.95,0.9,0.004,3.387214046556615,0.0030909479677857974,8,3.383647938076112,3.388870167473736,3.389124034119998
sync-wsd-h80--0.004--0.9--0.98,sync,80,0.9,0.98,0.004,3.3874882918348876,0.0041789348946028705,9,3.3827230932190484,3.3892127433880943,3.3905290388975198
sync-wsd-h80--0.002--0.95--0.9,sync,80,0.95,0.9,0.002,3.387568056442225,0.0031445452382793705,10,3.3841094680773423,3.3883398592945184,3.3902548419548144
sync-wsd-h80--0.003--0.9--0.999,sync,80,0.9,0.999,0.003,3.388201015651705,0.0024734440222362697,11,3.3853547655989265,3.3898292523767624,3.3894190289794257
sync-wsd-h80--0.004--0.9--0.999,sync,80,0.9,0.999,0.004,3.3900080293105788,0.008590281317489429,12,3.386918653844721,3.399715728285496,3.3833897058015197
sync-wsd-h80--0.002--0.9--0.999,sync,80,0.9,0.999,0.002,3.391963592292896,0.0020344161530247624,13,3.393733781347953,3.389741085295071,3.392415910235665
sync-wsd-h80--0.002--0.9--0.98,sync,80,0.9,0.98,0.002,3.3920589529278886,0.0050945166084860076,14,3.3957562129668304,3.3862477731450116,3.394172872671825
sync-wsd-h80--0.003--0.9--0.98,sync,80,0.9,0.98,0.003,3.3939105932604527,0.00292608284845803,15,3.3958272631829294,3.390542539821416,3.3953619767770142
sync-wsd-h80--0.004--0.9--0.9,sync,80,0.9,0.9,0.004,3.402566699748755,0.0016831520927486825,16,3.400883827208692,3.404250131254967,3.4025661407826067
sync-wsd-h80--0.003--0.9--0.9,sync,80,0.9,0.9,0.003,3.4046535255076074,0.003172465991917241,17,3.406432859902007,3.4009907702655466,3.406536946355269
sync-wsd-h80--0.002--0.9--0.9,sync,80,0.9,0.9,0.002,3.4089535609942145,0.00450894785288557,18,3.4138426364204353,3.404958759804277,3.408059286757931
sync-wsd-h120--0.003--0.95--0.999,sync,120,0.95,0.999,0.003,3.3391638713609706,0.0033778466051173125,1,3.3358776806003805,3.342626461286864,3.3389874721956683
sync-wsd-h120--0.002--0.95--0.999,sync,120,0.95,0.999,0.002,3.340015969012794,0.0036926960585839863,2,3.3372535258342455,3.344210140111933,3.3385842410922026
sync-wsd-h120--0.003--0.95--0.98,sync,120,0.95,0.98,0.003,3.343044725804964,0.0026156476213877594,3,3.340056066217504,3.34416150046102,3.344916610736368
sync-wsd-h120--0.002--0.95--0.98,sync,120,0.95,0.98,0.002,3.3455961244912342,0.004794530602595562,4,3.3428652603456044,3.351132205130257,3.3427909079978417
sync-wsd-h120--0.003--0.9--0.999,sync,120,0.9,0.999,0.003,3.350392472887071,0.00029214972399751386,5,3.3505589714755843,3.3500551367449667,3.350563310440662
sync-wsd-h120--0.003--0.95--0.9,sync,120,0.95,0.9,0.003,3.3508146872692244,0.003386679450839094,6,3.347097920415326,3.3516200603362734,3.353726081056074
sync-wsd-h120--0.002--0.95--0.9,sync,120,0.95,0.9,0.002,3.351856651815684,0.0025547355904697875,7,3.348942577352643,3.352916446734371,3.3537109313600366
sync-wsd-h120--0.002--0.9--0.999,sync,120,0.9,0.999,0.002,3.352482795767591,0.002124530134225739,8,3.353615725642847,3.3500319262251748,3.3538007354347514
sync-wsd-h120--0.002--0.9--0.98,sync,120,0.9,0.98,0.002,3.3543522986070413,0.0034316804877277457,9,3.356640648651833,3.350406513061352,3.3560097341079382
sync-wsd-h120--0.003--0.9--0.98,sync,120,0.9,0.98,0.003,3.356507689919215,0.0029840892002170947,10,3.3589789181908407,3.353192517783011,3.3573516337837934
sync-wsd-h120--0.003--0.9--0.9,sync,120,0.9,0.9,0.003,3.3674966892674543,0.002424473031563657,11,3.3691511967457104,3.364713668866867,3.368625202189785
sync-wsd-h120--0.002--0.9--0.9,sync,120,0.9,0.9,0.002,3.370755174542539,0.0038165765965090135,12,3.374923689294086,3.367432421913799,3.3699094124197315
sync-wsd-h160--0.003--0.95--0.999,sync,160,0.95,0.999,0.003,3.3170908548421747,0.00377307617192755,1,3.313441292120476,3.3209763697506856,3.316854902655363
sync-wsd-h160--0.002--0.95--0.999,sync,160,0.95,0.999,0.002,3.317204580420937,0.003835952031991387,2,3.3143719220945855,3.32156990315758,3.3156719160106447
