lr,beta1,beta2,seed,unclipped_loss,clipped_loss,clipped_evidence,difference,unclipped_directory,clipped_directory
0.008,0.925,0.98,43,3.755436226091744,3.6036127804224556,published_per_run_record,0.1518234456692884,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.98-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.98-seed43
0.008,0.925,0.98,44,3.742282443789282,3.600412161572182,published_per_run_record,0.1418702822171003,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.98-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.98-seed44
0.008,0.925,0.99,42,3.6973560517072057,3.680425856136735,original_files_reaudited,0.01693019557047082,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed42
0.008,0.925,0.99,43,3.609332567325115,3.6056249141568477,original_files_reaudited,0.0037076531682673775,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.99-seed43,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed43
0.008,0.925,0.99,44,3.7500335440091273,3.599603528388055,original_files_reaudited,0.15043001562107206,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.99-seed44,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.925-beta2-0.99-seed44
0.008,0.925,0.999,42,3.9884658461534506,3.636504664287374,published_per_run_record,0.3519611818660766,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.999-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.999-seed42
0.008,0.925,0.999,43,3.791518414212971,3.620115303729385,published_per_run_record,0.17140311048358603,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.999-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.999-seed43
0.008,0.925,0.999,44,4.026513321273011,3.625677914645191,published_per_run_record,0.40083540662782013,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.925-beta2-0.999-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.925-beta2-0.999-seed44
0.008,0.95,0.95,42,3.7833762152877193,3.6131776766289283,published_per_run_record,0.17019853865879098,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.95-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.95-seed42
0.008,0.95,0.95,43,3.7900400616573475,3.6325388444324647,published_per_run_record,0.15750121722488286,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.95-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.95-seed43
0.008,0.95,0.95,44,3.757922760174461,3.6135931788398135,published_per_run_record,0.14432958133464746,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.95-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.95-seed44
0.008,0.95,0.98,42,3.748650511807065,3.5892806301466837,published_per_run_record,0.15936988166038146,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.98-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.98-seed42
0.008,0.95,0.98,43,3.7393433734916037,3.6149460466671512,published_per_run_record,0.12439732682445248,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.98-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.98-seed43
0.008,0.95,0.98,44,3.7547548579962493,3.6041548539382435,published_per_run_record,0.15060000405800578,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.98-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.98-seed44
0.008,0.95,0.99,42,3.8126833150681154,3.589973732468213,original_files_reaudited,0.2227095825999026,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.99-seed42,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed42
0.008,0.95,0.99,43,3.8856205504906467,3.5969862952951,original_files_reaudited,0.28863425519554653,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.99-seed43,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed43
0.008,0.95,0.99,44,3.754091211529644,3.5997156873995255,original_files_reaudited,0.15437552413011835,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.99-seed44,runs/packed4-awc-20m-beta1-fill-20260911/experiments/packed4-awc-lr0.008-beta1-0.95-beta2-0.99-seed44
0.008,0.95,0.999,42,4.029081280762682,3.6235080270902267,published_per_run_record,0.40557325367245545,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.999-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.999-seed42
0.008,0.95,0.999,43,3.9183992846868816,3.630440410840382,published_per_run_record,0.28795887384649976,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.999-seed43,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.999-seed43
0.008,0.95,0.999,44,3.8578815149245114,3.6691430574582298,published_per_run_record,0.1887384574662816,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.95-beta2-0.999-seed44,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.95-beta2-0.999-seed44
0.008,0.975,0.95,42,4.093791344774857,3.6948285489363926,published_per_run_record,0.3989627958384645,runs/packed4-awc-noclip-20m-batch128k-20260912/experiments/packed4-awc-noclip-lr0.008-beta1-0.975-beta2-0.95-seed42,runs/packed4-20m-beta1-beta2-20260911/experiments/packed4-beta10.975-beta2-0.95-seed42
