epoch,step,category,level,group,numel,pair_count,cosine_valid_pairs,cosine_mean,cosine_std,cosine_min,cosine_max,relative_l2_valid_pairs,relative_l2_mean,relative_l2_std,relative_l2_min,relative_l2_max
20,6240,second_moment,aggregate,all,20403520,6,6,0.945655882358551,0.026316845789551735,0.9139197468757629,0.9881361722946167,6,0.3435138463973999,0.0746510848402977,0.23759016394615173,0.4281868040561676
21,6552,second_moment,aggregate,all,20403520,6,6,0.9515647292137146,0.02297312766313553,0.9240354895591736,0.9882832169532776,6,0.32416945695877075,0.0706002414226532,0.22553090751171112,0.4044664204120636
22,6864,second_moment,aggregate,all,20403520,6,6,0.9581640362739563,0.019162815064191818,0.935584545135498,0.9879627823829651,6,0.2990072965621948,0.06504914164543152,0.2100203037261963,0.3718368411064148
23,7176,second_moment,aggregate,all,20403520,6,6,0.9620526432991028,0.015056599862873554,0.941687822341919,0.9892169833183289,6,0.2833651602268219,0.04852535203099251,0.18802577257156372,0.3457167446613312
24,7488,second_moment,aggregate,all,20403520,6,6,0.7238145470619202,0.14627136290073395,0.5312762260437012,0.9161415696144104,6,0.857714831829071,0.2942443788051605,0.4240933954715729,1.1613165140151978
25,7800,second_moment,aggregate,all,20403520,6,6,0.8136196732521057,0.11834309250116348,0.6959293484687805,0.9864977598190308,6,0.5819199085235596,0.25818783044815063,0.1791507452726364,0.8082709312438965
26,8112,second_moment,aggregate,all,20403520,6,6,0.9639812111854553,0.020193684846162796,0.9369605779647827,0.994070291519165,6,0.26196497678756714,0.08903883397579193,0.1184827908873558,0.37051427364349365
27,8424,second_moment,aggregate,all,20403520,6,6,0.9683802127838135,0.018286488950252533,0.9484814405441284,0.9937072992324829,6,0.2857278287410736,0.11913731694221497,0.11306045949459076,0.37814992666244507
28,8736,second_moment,aggregate,all,20403520,6,6,0.9683971405029297,0.014131320640444756,0.9510689973831177,0.9886128306388855,6,0.3285902440547943,0.0838477611541748,0.21941302716732025,0.4808019697666168
29,9048,second_moment,aggregate,all,20403520,6,6,0.8943551182746887,0.06732126325368881,0.8363847732543945,0.9933473467826843,6,0.569774866104126,0.23521122336387634,0.21906615793704987,0.8416725397109985
30,9360,second_moment,aggregate,all,20403520,6,6,0.8944566249847412,0.06724979728460312,0.8367505669593811,0.9933022260665894,6,0.5690865516662598,0.23494628071784973,0.2187158465385437,0.8407719731330872
31,9672,second_moment,aggregate,all,20403520,6,6,0.894550621509552,0.06717323511838913,0.8371262550354004,0.9932385683059692,6,0.5683979392051697,0.2346963733434677,0.21832974255084991,0.8398680090904236
