mode,lr,beta2,seeds_completed,eligible,mean_loss,std_loss,rank
packed-4,0.0024,0.98,3,True,3.676558451450948,0.009055504497558254,17
packed-4,0.0024,0.999,3,True,3.5964578475757785,0.00387009736622522,9
packed-4,0.0028,0.95,3,True,3.767220616107657,0.005709079062060124,30
packed-4,0.0028,0.98,3,True,3.682826488739727,0.003644301456145159,22
packed-4,0.0028,0.999,3,True,3.593500542164561,0.0008261754283125726,6
packed-4,0.0032,0.95,3,True,3.767469250072204,0.00519478711379425,32
packed-4,0.0032,0.98,3,True,3.674261023773253,0.006857221513906863,16
packed-4,0.0032,0.999,3,True,3.5937711172555336,0.01286986621629334,7
packed-4,0.0036,0.95,3,True,3.7626185666434577,0.007257522058991688,26
packed-4,0.0036,0.98,3,True,3.6804055305957992,0.0071301040138024635,20
packed-4,0.0036,0.999,3,True,3.591064981210916,0.006905794513318017,2
packed-4,0.004,0.95,3,True,3.769284265175564,0.002634122615122738,33
packed-4,0.004,0.98,3,True,3.677683617961099,0.0062614313306483425,19
packed-4,0.004,0.999,3,True,3.5934667063376704,0.003287048435276023,5
packed-4,0.0044,0.95,3,True,3.7636287607325,0.007401048090516906,28
packed-4,0.0044,0.98,3,True,3.6641462993775336,0.0038322228256337035,14
packed-4,0.0044,0.999,3,True,3.5930895535148157,0.0012646215381744879,4
packed-4,0.0048,0.95,3,True,3.7627114377625293,0.008719244077605413,27
packed-4,0.0048,0.98,3,True,3.6633522929110693,0.006902417799609727,13
packed-4,0.0048,0.999,3,True,3.5878223847574837,0.00683920019383638,1
packed-4,0.0052,0.95,3,True,3.7593483835568535,0.005811030112522957,25
packed-4,0.0052,0.98,3,True,3.6678022114889766,0.0013430844796273773,15
packed-4,0.0052,0.999,3,True,3.591677892359717,0.004362727334708023,3
packed-8,0.001,0.95,3,True,3.9837702126629955,0.004232288014355683,36
packed-8,0.001,0.98,3,True,3.8475588140670665,0.006684430047854885,24
packed-8,0.001,0.999,3,True,3.7108188742673867,0.006792182767195946,12
packed-8,0.0012,0.95,3,True,3.9694052395052055,0.0023767056244332944,35
packed-8,0.0012,0.98,3,True,3.833995687100903,0.0076832234076005795,23
packed-8,0.0012,0.999,3,True,3.6893974348681056,0.006961078679489491,11
packed-8,0.0016,0.95,3,True,3.954749674849898,0.0025729162245166698,34
packed-8,0.0016,0.98,3,True,3.8168500408948893,0.005052364466758337,22
packed-8,0.0016,0.999,3,True,3.6669605566116776,0.007702848300134069,10
packed-8,0.002,0.95,3,True,3.9359704820931167,0.009551811906748135,33
packed-8,0.002,0.98,3,True,3.8037064252742976,0.0036645891975923103,21
packed-8,0.002,0.999,3,True,3.660160907778086,0.004759748292226723,9
packed-8,0.0024,0.95,3,True,3.928787362003658,0.007515938758297891,32
packed-8,0.0024,0.98,3,True,3.793102518896317,0.009482958191624745,20
packed-8,0.0024,0.999,3,True,3.653890068495903,0.001180411663199099,8
packed-8,0.0028,0.95,3,True,3.9217223077780785,0.009672347187563823,31
packed-8,0.0028,0.98,3,True,3.783949621401772,0.003074798191312389,19
packed-8,0.0028,0.999,3,True,3.6468550233791346,0.00779937333657905,6
packed-8,0.0032,0.95,3,True,3.920761868475981,0.006718206889233163,29
packed-8,0.0032,0.98,3,True,3.7813071119227315,0.0029511659659560985,18
packed-8,0.0032,0.999,3,True,3.647980475099526,0.0125124281697427,7
packed-8,0.0036,0.95,3,True,3.9165392048942644,0.0056992058651831965,26
packed-8,0.0036,0.98,3,True,3.777609940071142,0.009186453387984534,17
packed-8,0.0036,0.999,3,True,3.638749280257505,0.012406134686425187,5
packed-8,0.004,0.95,3,True,3.9209447459694142,0.0034819552815885998,30
packed-8,0.004,0.98,3,True,3.7726749694602386,0.011500649453590075,16
packed-8,0.004,0.999,3,True,3.6324767110401486,0.008548011733967445,4
packed-8,0.0044,0.95,3,True,3.9177961881621433,0.00063125404749454,28
packed-8,0.0044,0.98,3,True,3.7690280690684346,0.014183429700956374,15
packed-8,0.0044,0.999,3,True,3.632167211385776,0.004847805448273883,3
