kind,left,right,horizon,lr,beta1,beta2,difference,pairedSD,seedDifferences
workers,awc4-cosine-h20--0.005--0.9--0.999,awc8-cosine-h20--0.005--0.9--0.999,20,0.005,0.9,0.999,0.02890488964262324,0.010059005368712962,"[0.018298933496139647,0.030106787410391078,0.038308948021338995]"
workers,sync-cosine-h20--0.005--0.9--0.999,awc4-cosine-h20--0.005--0.9--0.999,20,0.005,0.9,0.999,0.03243493748122791,0.010908051093341227,"[0.04491979090251297,0.02763539154934458,0.024749629991826172]"
workers,awc4-cosine-h20--0.007--0.974--0.99,awc8-cosine-h20--0.007--0.974--0.99,20,0.007,0.974,0.99,0.0213965632046443,0.008605666696561048,"[0.018154867671400954,0.031152277709241005,0.01488254423329094]"
workers,awc4-cosine-h20--0.008--0.974--0.99,awc8-cosine-h20--0.008--0.974--0.99,20,0.008,0.974,0.99,0.015035477842711161,0.0028278903223352666,"[0.012352050946482063,0.014765863036060978,0.017988519545590442]"
workers,awc4-cosine-h20--0.006--0.974--0.99,awc8-cosine-h20--0.006--0.974--0.99,20,0.006,0.974,0.99,0.03359528198575257,0.00831456309606374,"[0.029228167367889135,0.028374233166451823,0.043183445422916744]"
workers,awc4-cosine-h20--0.01--0.974--0.999,awc8-cosine-h20--0.01--0.974--0.999,20,0.01,0.974,0.999,0.003987985198181961,0.00538209086142335,"[0.010202405388859415,0.0008294106122681555,0.000932139593418313]"
workers,awc4-cosine-h20--0.008--0.974--0.999,awc8-cosine-h20--0.008--0.974--0.999,20,0.008,0.974,0.999,-0.0010694753085340736,0.005090978242513749,"[0.0048061049159833225,-0.0041692136677529135,-0.0038453171738326297]"
workers,awc4-cosine-h20--0.006--0.974--0.999,awc8-cosine-h20--0.006--0.974--0.999,20,0.006,0.974,0.999,0.016376038057123104,0.005892433531548891,"[0.017135652221606623,0.01014063427902201,0.021851827670740676]"
workers,awc4-cosine-h20--0.009--0.974--0.999,awc8-cosine-h20--0.009--0.974--0.999,20,0.009,0.974,0.999,3.902232511550826e-05,0.0075970196871002135,"[-0.006399559480974482,0.008418081282143497,-0.0019014548258224906]"
workers,awc4-cosine-h20--0.005--0.974--0.99,awc8-cosine-h20--0.005--0.974--0.99,20,0.005,0.974,0.99,0.032910505156024485,0.004659672179140696,"[0.037405165143774344,0.03322463344073778,0.028101716883561334]"
workers,awc4-cosine-h20--0.007--0.974--0.999,awc8-cosine-h20--0.007--0.974--0.999,20,0.007,0.974,0.999,-0.0020249453481917534,0.004451441696820723,"[-0.006668518710105431,0.002205572064059691,-0.0016118893985295202]"
workers,awc4-cosine-h20--0.005--0.974--0.999,awc8-cosine-h20--0.005--0.974--0.999,20,0.005,0.974,0.999,0.019319025821262176,0.004582165539403311,"[0.023085758199575146,0.020653583873464054,0.014217735390747333]"
workers,awc4-cosine-h20--0.011--0.974--0.999,awc8-cosine-h20--0.011--0.974--0.999,20,0.011,0.974,0.999,0.0017213429240131954,0.019325774647681673,"[0.0240333886308588,-0.009773837731472668,-0.009095522127346545]"
workers,awc4-cosine-h20--0.012--0.95--0.999,awc8-cosine-h20--0.012--0.95--0.999,20,0.012,0.95,0.999,-0.05613765233213005,0.05587344673646494,"[-0.11598925745010735,-0.005350855697741519,-0.04707284384854127]"
workers,awc4-cosine-h20--0.012--0.974--0.999,awc8-cosine-h20--0.012--0.974--0.999,20,0.012,0.974,0.999,-0.02266911340109153,0.008759144732722993,"[-0.03240389034851798,-0.0154251297185386,-0.02017832013621801]"
workers,awc4-cosine-h20--0.012--0.9--0.999,awc8-cosine-h20--0.012--0.9--0.999,20,0.012,0.9,0.999,-0.11103329260423249,0.17790604813424152,"[0.00532147449148912,-0.0225930165973236,-0.315828335706863]"
workers,awc4-cosine-h40--0.01--0.95--0.99,awc8-cosine-h40--0.01--0.95--0.99,40,0.01,0.95,0.99,0.021007253955753463,0.0030265669317416344,"[0.017774467465609955,0.021473896782616464,0.023773397619033965]"
workers,awc4-cosine-h40--0.008--0.95--0.999,awc8-cosine-h40--0.008--0.95--0.999,40,0.008,0.95,0.999,0.010837682437331075,0.004493794588243502,"[0.01574791257831798,0.0069294948382849775,0.009835639895390269]"
workers,awc4-cosine-h40--0.012--0.95--0.99,awc8-cosine-h40--0.012--0.95--0.99,40,0.012,0.95,0.99,0.016008037339043213,0.006251314460671222,"[0.0113488089179965,0.013562965656590986,0.023112337442542152]"
workers,awc4-cosine-h40--0.011--0.95--0.99,awc8-cosine-h40--0.011--0.95--0.99,40,0.011,0.95,0.99,0.01590526945024573,0.0039059496034720277,"[0.011477910007732905,0.017373758873687084,0.018864139469317198]"
workers,awc4-cosine-h40--0.01--0.95--0.999,awc8-cosine-h40--0.01--0.95--0.999,40,0.01,0.95,0.999,0.01032127595282469,0.00638085387145313,"[0.007849088247404712,0.005546420455330825,0.017568319155738532]"
workers,awc4-cosine-h40--0.012--0.974--0.99,awc8-cosine-h40--0.012--0.974--0.99,40,0.012,0.974,0.99,0.012688468958052054,0.003674054397391575,"[0.010360169996818325,0.016923928204116034,0.010781308673221801]"
workers,awc4-cosine-h40--0.011--0.95--0.999,awc8-cosine-h40--0.011--0.95--0.999,40,0.011,0.95,0.999,0.002631362133929264,0.0016676465009519434,"[0.0007322451503291028,0.0033051292841532742,0.003856711967305415]"
